Key,English
jz_PlantedBeansFertilized2DryDesc,"Fertilized Beans(Dry)"
jz_PlantedBeans3FertilizedHarvestPlayerDesc,"Fertilized Beans(Grown)"

jz_PlantedChillis1,"Chilli(Seed)"
jz_PlantedChillis1InfestedDesc,"Chilli Sprout(Infested)"
jz_PlantedChillis1DryDesc,"Chilli Sprout(Dry)"
jz_PlantedChillis2,"Chilli Plant(Growing)"
jz_PlantedChillis2InfestedDesc,"Chilli(Infested)"
jz_PlantedChillis2DryDesc,"Chilli(Dry)"
jz_PlantedChillis3HarvestDesc,"Chilli(Grown)"
jz_PlantedChillis3HarvestPlayerDesc,"Chilli(Grown)"
jz_PlantedCucumber1,"Cucumber(Seed)"
jz_PlantedCucumber1InfestedDesc,"Cucumber Sprout(Infested)"
jz_PlantedCucumber1DryDesc,"Cucumber Sprout(Dry)"
jz_PlantedCucumber2,"Cucumber Plant(Growing)"
jz_PlantedCucumber2InfestedDesc,"Cucumber(Infested)"
jz_PlantedCucumber2DryDesc,"Cucumber(Dry)"
jz_PlantedCucumber3HarvestDesc,"Cucumber(Grown)"
jz_PlantedCucumber3HarvestPlayerDesc,"Cucumber(Grown)"
jz_PlantedEggPlant1,"Eggplant(Seed)"
jz_PlantedEggPlant1InfestedDesc,"Eggplant Sprout(Infested)"
jz_PlantedEggPlant1DryDesc,"Eggplant Sprout(Dry)"
jz_PlantedEggPlant2,"Eggplant(Growing)"
jz_PlantedEggPlant2InfestedDesc,"Eggplant(Infested)"
jz_PlantedEggPlant2DryDesc,"Eggplant(Dry)"
jz_PlantedEggPlant3HarvestDesc,"Eggplant(Grown)"
jz_PlantedEggPlant3HarvestPlayerDesc,"Eggplant(Grown)"
jz_PlantedLeek1,"Leek(Seed)"
jz_PlantedLeek1InfestedDesc,"Leek Sprout(Infested)"
jz_PlantedLeek1DryDesc,"Leek Sprout(Dry)"
jz_PlantedLeek2,"Leek Plant(Growing)"
jz_PlantedLeek2InfestedDesc,"Leek(Infested)"
jz_PlantedLeek2DryDesc,"Leek(Dry)"
jz_PlantedLeek3HarvestDesc,"Leek(Grown)"
jz_PlantedLeek3HarvestPlayerDesc,"Leek(Grown)"

ITEM_________________________XML,ITEM_________________________XML
resourceDoorKnob,"Key Lock"
resourceElectronicParts,"Tech Parts"
jz_meleeWpnSledgeT0StoneSledgehammerDesc,"The sledgehammer is one of the best weapons for cracking skulls.\n\nScraps to Small Stone."
jz_meleeWpnSledgeT1IronSledgehammerDesc,"The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Forged Iron.\nScrap to Scrap Iron."
jz_meleeWpnSledgeT3SteelSledgehammerDesc,"The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with a Forged Steel.\nScrap to Scrap Steel."
jz_Tallow,"Tallow"
jz_QISateliteRadio,"Satellite Radio Parts"
jz_resourceClothDesc,"Cloth is a staple for survival used for clothing, bandages and more. It can be harvested from many objects and crafted on the Armor Table with a Small Loom"
jz_meleeWpnBladeT0BoneKnifeDesc,"This primitive makeshift weapon is also useful for gutting animals."
jz_meleeWpnClubT1BaseballBatDesc,"This club was used in gladiatorial games of the past that were held in huge arenas.\nScrap to Wood"
AAAAAAAAAAAAA,Starting Instruction
StartingInstructionsDesc,"This is where you choose your characters stats and ability's for this play through. Here you can craft Negative & Positive Traits, and Professions. Purchasing Negative traits will reward more Knowledge Points. Any combination can be chosen but these options do not stack. More Positive Traits can also be purchased with Skill Points acquired during leveling and more Professions can be acquired by collecting Profession Pages found in loot\n\nStarting Suggestion - Craft and read enough Negative Traits to acquire the amount of Knowledge Points you need for the Profession you want." 
apparelSkiGogglesDesc,"Ski Goggles pimp your look."
apparelNerdGlassesDesc,"Wearing these nerdy looking glasses might not help your sex appeal but you get faster at crafting and gain extra XP."
apparelAviatorGogglesDesc,"You might not get lucky wearing these but they help you find buried treasure more easily"
apparelShadesDesc,"Sunglasses make you look cool"
foodSteakAndPotatoSchematic,Venison and Potato Meal Recipe
foodSteakAndPotato,Venison And Potato
apparelCigarDesc,"Look intimidating and get a better deal from traders.\nAlso acts as an apatite suppressant and slows stamina regain"
jz_QIBugOutBag,Bug Out Bag
jz_QIBugOutBagDesc,"A pre packed bag for when shit hits the fan and you have to flee in a hurry."
jz_QIBugOutBagLoot,"Bug Out Bag"
jz_foodHoneyDesc,"Honey is one of mother nature's miracles. It gives you some energy, tastes great, and can be used to craft Medical Bandages."
jz_PartsOldRifleReceiver,Old Rifle Receiver
jz_PartsOldRifleStock,Old Rifle Stock
jz_PartsOldRifleBarrel,Old Rifle Barrel
jz_PartsOldRevolverFrame,Old Revolver Frame
jz_PartsOldRevolverBarrel,Old Revolver Barrel
jz_PartsOldRevolverCylinder,Old Revolver Cylinder
jz_schematicGeneralGroupDesc,"Reading the schematic will teach you how to craft this item. The quality of a crafted item is determined by your skill level in that specific crafting skill.\nFirearms are crafted with parts and you can chose one part to reclaim to use to craft a better firearm."
jz_SplashOfWater,Splash of Water
jz_SplashOfWaterDesc,"Splash some water on your head to cool off for a while"
jz_ProfessionChoice,Knowledge Point
jz_ProfessionChoiceDesc,"Use these points to purchase your starting player stats and knowledge. Purchase Negative traits to earn more. Scrap or trash any points you don't want to use."
jz_TraitRefundDesc,"Used to facilitate the refund of Knowledge Points. It is safe to trash or scrap this for Paper."
jz_TraitRefundSlowDriver,Refund Receipt
jz_TraitRefundSleepy,Refund Receipt
jz_TraitRefundClumsy,Refund Receipt
jz_TraitRefundAllThumbs,Refund Receipt
jz_TraitRefundWeakStomach,Refund Receipt
jz_TraitRefundAgoraphobic,Refund Receipt
jz_TraitRefundClaustrophobic,Refund Receipt
jz_TraitRefundBadLeg,Refund Receipt
jz_TraitRefundAsthmatic,Refund Receipt
jz_TraitRefundOutOfShape,Refund Receipt
jz_TraitRefundSmoker,Refund Receipt
jz_TraitRefundHemophobic,Refund Receipt
jz_TraitRefundThinSkinned,Refund Receipt
jz_TraitRefundWeak,Refund Receipt
jz_ProfessionFireFighterBook,The Fire Fighting Profession
jz_FiremanProfessionDesc,"All the knowledge needed to become a Fire Fighter.\n20% Block Dmg w/Fireaxes\n+5% Max Stamina\nRecipes- Aloe Cream, Medical Bandage, Molotov Cocktail, Firemans Axe Mod"
jz_ProfessionPoliceOfficerBook,The Police Profession
jz_CopProfessionDesc,"All the knowledge needed to become a Police Officer.\n10% Faster Reload & better Aim w/Pistol & Magnums\nRecipes- Pistol, Gun Oil, Stun Baton, Weapon Repair Kit"
jz_ProfessionParkRangerBook,The Park Ranger Profession
jz_ParkRangerProfessionDesc,"All the knowledge needed to become a Park Ranger.\n20% Faster Primitive Crafting\nRecipes- Herbal Antibiotics, Spear Iron, Spear Steel"
jz_ProfessionBouncerBook,The Bouncer Profession
jz_BouncerProfessionDesc,"All the knowledge needed to become a Bouncer.\n10% Less Stamina w/Brawling\nRecipes- Brass Knuckles Mold, Brass Knuckles, Leather Knuckles, Beer, Mead, Grain Alcohol"
jz_ProfessionChefBook,The Chef Profession
jz_ChefProfessionDesc,"All the knowledge needed to become a Chef.\n20% Faster Cooking\nRecipes- All Food Recipes"
jz_ProfessionBurglarBook,The Burglar Profession
jz_ThiefProfessionDesc,"All the knowledge needed to become a Burglar.\n10% Faster Movement & Less Noise while Crouching\n20% Faster Looting & Pinpoint Treasure location\nRecipes- Lock Picks"
jz_ProfessionCarpenterBook,The Carpenter Profession
jz_CarpenterProfessionDesc,"All the knowledge needed to become a Carpenter.\n20% Faster Crafting on the Workbench and Tablesaw\nRecipes- All Wooden Frame Shapes, Planks"
jz_ProfessionMasonBook,The Mason Profession
jz_MasonProfessionDesc,"All the knowledge needed to become a Mason.\n20% Faster Crafting on the Cementmixer\nRecipes- All Brick and Flagstone Frame Shapes, Bricks, Cobblestone"
jz_ProfessionSoldierBook,The Soldier Profession
jz_SoldierProfessionDesc,"All the knowledge needed to become a Soldier.\n10% Faster Reload & better Aim w/M60 & AK47\nRecipes- Grubs, Weapon Repair Kit, Blunderbuss, Blunderbuss Ammo, AK47, Pipe Bomb, Cooking Pot Mine"
jz_ProfessionFitnessInstructorBook,Fitness Instructor Profession
jz_FitnessInstructorProfessionDesc,"All the knowledge needed to become a Fitness Instructor.\n10% Faster Movment\n5% Less Stamina used while running\nRecipes- Golden Rod Tea, Red Tea, Mega Crush, Wellness Juice, Vitamins"
jz_ProfessionElectricianBook,The Electrician Profession
jz_ElectricianProfessionDesc,"All the knowledge needed to become a Electrician.\n10% Faster Electrical Crafting\nRecipes- Generator Bank, Pressure Plate, Battery Bank, Ceiling Light, Timer Relay, Wire Relay, Motion Sensor, Speaker, Switch, Electric Fencepost, Spotlight, Stun Baton"
jz_ProfessionMetalWorkerBook,The Metal Worker Profession
jz_MetalWorkerProfessionDesc,"All the knowledge needed to become a Metal Worker.\n10% Faster Crafting on the Forge\nRecipes- All Scrap Iron Frame Shapes, Sheet Metal"
jz_ProfessionMechanicBook,The Mechanic Profession
jz_MechanicProfessionDesc,"All the knowledge needed to become a Mechanic.\n20% Faster Vehicle Crafting\nRecipes- Small Engine, Large Engine, All Vehicles"
jz_ProfessionDoctorBook,The Doctor Profession
jz_DoctorProfessionDesc,"All the knowledge needed to become a Doctor.\n20% Faster Medical Crafting\nRecipes- Aloe Cream, First Aid Bandage, Stimulant, Suture Kit, AntiVenom, Painkillers, Steroids, Antibiotics"
jz_ProfessionFarmerBook,The Farmer Profession
jz_BouncerProfessionDesc,"All the knowledge needed to become a Farmer.\n20% Faster Seed Crafting\nRecipes- All Plantable seeds"
jz_ProfessionChemistBook,The Chemist Profession
jz_ChemistProfessionDesc,"All the knowledge needed to become a Chemist.\n20% Faster Chemistry Crafting\nRecipes- Mega Crush, Stimulant, Acid, Oil Shale, GunPowder, Purification Tablets"
jz_ProfessionSoldier,Soldier Profession
jz_ProfessionSoldierKitDesc,"All the knowledge needed to become a Soldier\nStart with a Old Rifle and ammo\n10% Faster Reload & better Aim w/M60 & AK47\nRecipes- Grubs, Weapon Repair Kit, Blunderbuss, Blunderbuss Ammo, AK47, Pipe Bomb, Cooking Pot Mine"
jz_ProfessionDoctor,Doctor Profession
jz_ProfessionDoctorKitDesc,"All the knowledge needed to become a Doctor.\nStart with Painkillers, Stimulants, Aloe Creams and a Suture Kit\n20% Faster Medical Crafting\nRecipes- Aloe Cream, First Aid Bandage, Stimulant, Suture Kit, AntiVenom, Painkillers, Steroids, Antibiotics"
jz_ProfessionBouncer,Bouncer Profession
jz_ProfessionBouncerKitDesc,"All the knowledge needed to become a Bouncer.\nStart with Brass Knuckles\n10% Less Stamina w/Brawling\nRecipes- Brass Knuckles Mold, Brass Knuckles, Leather Knuckles, Beer, Mead, Grain Alcohol"
jz_ProfessionChemist,Chemist Profession
jz_ProfessionChemistKitDesc,"All the knowledge needed to become a Chemist.\nStarts with Painkillers and Stimulants\n20% Faster Chemistry Crafting\nRecipes- Mega Crush, Stimulant, Acid, Oil Shale, GunPowder, Purification Tablets"
jz_ProfessionCarpenter,Carpenter Profession
jz_ProfessionCarpenterKitDesc,"All the knowledge needed to become a Carpenter.\nStarts with a Claw Hammer and Nails\n20% Faster Crafting on the Workbench and Tablesaw\nRecipes- All Wooden Frame Shapes, Planks"
jz_ProfessionCop,Cop Profession
jz_ProfessionCopKitDesc,"All the knowledge needed to become a Cop\nStart with a Old Revolver and ammo\n10% Faster Reload & better Aim w/Pistol & Magnums\nRecipes- Pistol, Gun Oil, Stun Baton, Weapon Repair Kit"
jz_ProfessionChef,Chef Profession
jz_ProfessionChefKitDesc,"All the knowledge needed to become a Chef.\nStart with a Old Knife\n20% Faster Cooking\nRecipes- All Food Recipes"
jz_ProfessionFitnessInstructor,Fitness Instructor Profession
jz_ProfessionFitnessInstructorKitDesc,"All the knowledge needed to become a Fitness Instructor.\nStart with a Baseball Bat\n10% Faster Movment\n5% Less Stamina used while running\nRecipes- Golden Rod Tea, Red Tea, Mega Crush, Wellness Juice, Vitamins"
jz_ProfessionFireman,Fireman Profession
jz_ProfessionFiremanKitDesc,"All the knowledge needed to become a Fire Fighter.\nStart with a Old Axe\n20% Block Dmg w/Fireaxes\n+5% Max Stamina\nRecipes- Aloe Cream, Medical Bandage, Molotov Cocktail, Firemans Axe Mod"
jz_ProfessionMetalWorker,Metal Worker Profession
jz_ProfessionMetalWorkerKitDesc,"All the knowledge needed to become a Metal Worker.\nStart with a Wrench\n10% Faster Crafting on the Forge\nRecipes- All Scrap Iron Frame Shapes, Sheet Metal"
jz_ProfessionElectrician,Electrician Profession
jz_ProfessionElectricianKitDesc,"All the knowledge needed to become a Electrician.\nStart with a Screwdriver\n10% Faster Electrical Crafting\nRecipes- Generator Bank, Pressure Plate, Battery Bank, Ceiling Light, Timer Relay, Wire Relay, Motion Sensor, Speaker, Switch, Electric Fencepost, Spotlight, Stun Baton"
jz_ProfessionFarmer,Farmer Profession
jz_ProfessionFarmerKitDesc,"All the knowledge needed to become a Farmer.\n20% Faster Seed Crafting\nRecipes- All Plantable seeds"
jz_ProfessionThief,Burglar Profession
jz_ProfessionThiefKitDesc,"All the knowledge needed to become a Burglar.\nStart with a Old Knife and Lock Picks\n10% Faster Movement & Less Noise while Crouching\n20% Faster Looting & Pinpoint Treasure location\nRecipes- Lock Picks"
jz_ProfessionParkRanger,Park Ranger Profession
jz_ProfessionParkRangerKitDesc,"All the knowledge needed to become a Park Ranger.\nStart with a Old Rifle and ammo\n20% Faster Primitive Crafting\nRecipes- Herbal Antibiotics, Spear Iron, Spear Steel"
jz_ProfessionMechanic,Mechanic Profession
jz_ProfessionMechanicKitDesc,"All the knowledge needed to become a Mechanic.\nStart with a Wrench\n20% Faster Vehicle Crafting\nRecipes- Small Engine, Large Engine, All Vehicles"
jz_ProfessionMason,Mason Profession
jz_ProfessionMasonKitDesc,"All the knowledge needed to become a Mason.\nStart with a Mason Hammer\n20% Faster Crafting on the Cementmixer\nRecipes- All Brick and Flagstone Frame Shapes, Bricks, Cobblestone"
jz_NegativeTraitSlowDriver,Neg Trait Slow Driver
jz_SlowDriverTraitDesc,"NEGATIVE TRAIT\n5% Slower while driving Vehicles\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 2 Knowledge Points[-]"
jz_NegativeTraitSleepy,Neg Trait Sleepy
jz_NegativeTraitSleepyDesc,"NEGATIVE TRAIT\n20% Slower Fatigue refill\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 2 Knowledge Points[-]"
jz_NegativeTraitClumsy,Neg Trait Clumsy
jz_NegativeTraitClumsyDesc,"NEGATIVE TRAIT\n10% More Noise when Moving\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 2 Knowledge Points[-]"
jz_NegativeTraitAllThumbs,Neg Trait All Thumbs
jz_NegativeTraitAllThumbsDesc,"NEGATIVE TRAIT\n10% Slower Crafting & Lock Picking\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 2 Knowledge Points[-]"
jz_NegativeTraitWeakStomach,Neg Trait Weak Stomach
jz_NegativeTraitWeakStomachDesc,"NEGATIVE TRAIT\n15% More chance to get food illnesses\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 3 Knowledge Points[-]"
jz_NegativeTraitAgoraphobic,Neg Trait Agoraphobic
jz_NegativeTraitAgoraphobicDesc,"NEGATIVE TRAIT\nWhen Outdoors\n10% more Stamina Loss w/Melee\n10% Slower Reloading & 10% Less Weapon Handling\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 3 Knowledge Points[-]"
jz_NegativeTraitClaustrophobic,Neg Trait Claustrophobic
jz_NegativeTraitClaustrophobicDesc,"NEGATIVE TRAIT\nWhen Indoors\n10% more Stamina Loss w/Melee\n10% Slower Reloading & 10% Less Weapon Handling\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 3 Knowledge Points[-]"
jz_NegativeTraitBadLeg,Neg Trait Bad Leg
jz_NegativeTraitBadLegDesc,"NEGATIVE TRAIT\nChance to trigger old leg injury when you jump or run\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 3 Knowledge Points[-]"
jz_NegativeTraitAsthmatic,Neg Trait Asthmatic
jz_NegativeTraitAsthmaticDesc,"NEGATIVE TRAIT\n20% More Stamina used\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 3 Knowledge Points[-]"
jz_NegativeTraitOutOfShape,Neg Trait Out Of Shape
jz_NegativeTraitOutOfShapeDesc,"NEGATIVE TRAIT\n5% More Stamina used w/Melee\n5% More Stamina used while Encumbered\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 3 Knowledge Points[-]"
jz_NegativeTraitSmoker,Neg Trait Smoker
jz_NegativeTraitSmokerDesc,"NEGATIVE TRAIT\n20% More Stamina used while Running\n10% Slower Run Speed\nSmoking Addiction\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 4 Knowledge Points[-]"
jz_NegativeTraitHemophobic,Neg Trait Hemophobic
jz_NegativeTraitHemophobicDesc,"NEGATIVE TRAIT\n20% Less Healing from Medical Items\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 4 Knowledge Points[-]"
jz_NegativeTraitThinSkinned,Neg Trait Thin Skinned
jz_NegativeTraitThinSkinnedDesc,"NEGATIVE TRAIT\n10% More chance to get Injured from Attackers\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 4 Knowledge Points[-]"
jz_NegativeTraitWeak,Neg Trait Weak
jz_NegativeTraitWeakDesc,"NEGATIVE TRAIT\n10% More Stamina used w/Melee\n10% More Stamina used while Encumbered\n[f21b10]Traits do not stack, Don't buy two of the same[-]\n[f21b10]REFUNDS 4 Knowledge Points[-]"
jz_PositiveTraitFastDriver,Pos Trait Fast Driver
jz_PositiveTraitFastDriverDesc,"POSITIVE TRAIT\n5% Faster while driving Vehicles\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitWakeful,Pos Trait Wakeful
jz_PositiveTraitWakefulDesc,"POSITIVE TRAIT\n20% Slower Fatigue Drain\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitGraceful,Pos Trait Graceful
jz_PositiveTraitGracefulDesc,"POSITIVE TRAIT\n10% Less Noise when Moving\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitDexterous,Pos Trait Dexterous
jz_PositiveTraitDexterousDesc,"POSITIVE TRAIT\n10% Faster Crafting & Lock Picking\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitIronGut,Pos Trait IronGut
jz_PositiveTraitIronGutDesc,"POSITIVE TRAIT\n15% Less chance to get food illnesses\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitOutdoorsman,Pos Trait Outdoorsman
jz_PositiveTraitOutdoorsmanDesc,"POSITIVE TRAIT\n10% Less effects from Weather\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitFit,Pos Trait Fit
jz_PositiveTraitFitDesc,"POSITIVE TRAIT\n5% Less Stamina used w/Melee\n5% Less Stamina used while Encumbered\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitThickSkinned,Pos Trait Thick Skinned
jz_PositiveTraitThickSkinnedDesc,"POSITIVE TRAIT\n10% Less chance to get Injured from Attackers\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitGymnast,Pos Trait Gymnast
jz_PositiveTraitGymnastDesc,"POSITIVE TRAIT\n10% Less Stamina Jumping\n10% Farther safe fall distance\n10% Higher Jumping\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitMedic,Pos Trait Medic
jz_PositiveTraitMedicDesc,"POSITIVE TRAIT\n20% More Healing from Medical Items\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitAmateurMechanic,Pos Trait Amateur Mechanic
jz_PositiveTraitAmateurMechanicDesc,"POSITIVE TRAIT\n20% More Resources from harvesting Vehicles\nRecipes- Bicycle, Mini Bike\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitHunter,Pos Trait Hunter
jz_PositiveTraitHunterDesc,"POSITIVE TRAIT\nCan track Deer and Pigs on mini map\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitRunner,Pos Trait Runner
jz_PositiveTraitRunnerDesc,"POSITIVE TRAIT\n20% Less Stamina used while Running\n10% Faster Run Speed\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
jz_PositiveTraitStout,Pos Trait Stout
jz_PositiveTraitStoutDesc,"POSITIVE TRAIT\n10% Less Stamina used w/Melee\n10% Less Stamina used while Encumbered\n[f21b10]Traits do not stack, Don't buy two of the same[-]"
tatteredClothesDesc,"Threadbare clothing thats just good for not being naked. Can be scraped for Cloth"
jz_TatteredShirt,Tattered Shirt
jz_TatteredPants,Tattered Pants
jz_TatteredShoes,Tattered Shoes
jz_DrinkDirtyOuncesOfWater,Ounces of Dirty Water
jz_DrinkDirtyOuncesOfWaterDesc,"This water is dirty and unsafe to drink. Doing so may cause illness. Craft a Dirty Drink of Water for better hydration" 
jz_DrinkDrityDrinkOfWater,Dirty Drink of Water
jz_DrinkDrityDrinkOfWaterDesc,"This water is dirty and unsafe to drink. Doing so may cause illness but some time you have to roll the dice."  
jz_DrinkCleanOuncesOfWater,Ounces of Clean Water
jz_DrinkCleanOuncesOfWaterDesc,"This water is clean and safe to drink and cook with. Craft a Clean Drink of Water for better hydration"
jz_DrinkCleanDrinkOfWater,Clean Drink of Water
jz_DrinkCleanDrinkOfWaterDesc,Clean drink of water
qc_ProfessionGroupDesc,Contains your Profession starting weapon
qc_Carpenter,Carpenter Starting Tool
qc_Cop,Cop Starting Weapon
qc_Soldier,Soldier Starting Weapon
qc_Bouncer,Bouncer Starting Weapon
qc_Chef,Chef Starting Weapon
qc_FitnessInstructor,Fitness Instructor Starting Weapon
qc_IronWorker,Metal Worker Starting Tool
qc_Electrician,Electrician Starting Tool
qc_Thief,Thief Starting Weapon
qc_ParkRanger,Park Ranger Starting Weapon
qc_Mechanic,Mechanic Starting Tool
qc_Fireman,Fireman Starting Weapon
qc_Mason,Mason Starting Tool
jz_FiberRope,Fiber Rope
fiberRopeDesc,Rope made from natural fibers
jz_CraftedRevolver,Crafted Revolver
jz_CraftedFirearmDesc,"A roughly crafted Firearm made from manufactured and handmade parts"
jz_CraftedRifle,Crafted Rifle
jz_BlunderbussDouble
BlunderbussDoubleDesc
CraftedGunPartsDesc,A handcrafted firearm part
jz_PartsCraftedRifleReceiver,Crafted Rifle Receiver
jz_PartsCraftedRifleStock,Crafted Rifle Stock
jz_PartsOldRifleBarrel,Old Rifle Barrel
jz_PartsCraftedRevolverStock,Crafted Revolver Stock
jz_PartsCraftedRevolverBarrel,Crafted Revolver Barrel
jz_PartsOldRevolverCylinder,Old Revolver Cylinder
RevolverPartsDesc,Weapon part removed from a Old Revolver
WoodenBowPartsDesc,This part is needed to craft a Wooden Bow
jz_PartsWoodenBowHandle,Wooden Bow Handle
jz_PartsWoodenBowCams,Wooden Bow Cams
jz_PartsWoodenBowCord,Wooden Bow Cord
CrossbowPartsDesc,This part is needed to craft a Crossbow
jz_PartsCrossbowStock,Crossbow Stock
jz_PartsCrossbowLimb,CrossbowLimb
jz_PartsCrossbowReciver,CrossbowReciver
CompoundBowPartsDesc,This part is needed to craft a Compound Bow
jz_PartsCompoundBowHandle,Compound Bow Handle
jz_PartsCompoundBowCams,Compound Bow Cams
jz_PartsCompoundBowCord,Compound Bow Cord
CompoundCrossbowPartsDesc,This part is needed to craft a Compound Crossbow
jz_PartsCompoundCrossbowStock,Compound Crossbow Stock
jz_PartsCompoundCrossbowCord,Compound Crossbow Cord
jz_PartsCompoundCrossbowCams,Compound Crossbow Cams
PistolPartsDesc,This part is needed to craft a Pistol
jz_PartsPistolBarrel,Pistol Barrel
jz_PartsPistolFrame,Pistol Frame
jz_PartsPistolGrip,Pistol Grip
PumpShotgunPartsDesc,This part is needed to craft a Pump Shotgun
jz_PartsPumpShotgunBarrel,Pump Shotgun Barrel
jz_PartsPumpShotgunReciver,Pump Shotgun Reciver
jz_PartsPumpShotgunStock,Pump Shotgun Stock
DoubleBarrelPartsDesc,This part is needed to craft a Double Barrel Shotgun
jz_PartsDoubleBarrelReceiver,Double Barrel Receiver
jz_PartsDoubleBarrelStock,Double Barrel Stock
jz_PartsDoubleBarrelBarrel,Double Barrel Barrel
HuntingRiflePartsDesc,This part is needed to craft a Hunting Rifle
jz_PartsHuntingRifleBarrel,Hunting Rifle Barrel
jz_PartsHuntingRifleStock,Hunting Rifle Stock
jz_PartsHuntingRifleReceiver,Hunting Rifle Receiver
MagnumPartsDesc,This part is needed to craft a Magnum
jz_Parts44MagnumCylinder,44 Magnum Cylinder
jz_Parts44MagnumFrame,44 Magnum Frame
jz_Parts44MagnumGrip,44 Magnum Grip
SMG5PartsDesc,This part is needed to craft a SMG5
jz_PartsSMG5Barrel,SMG5 Barrel
jz_PartsSMG5Receiver,SMG5 Receiver
jz_PartsSMG5Grip,SMG5 Grip
AR15PartsDesc,This part is needed to craft a AR15
jz_PartsARBarrel,AR15 Barrel
jz_PartsARReceiver,AR15 Receiver
jz_PartsARStock,AR15 Stock
AK47PartsDesc,This part is needed to craft a AK47
jz_PartsAK47Stock,AK47 Stock
jz_PartsAK47Receiver,AK47 Receiver
jz_PartsAK47Barrel,AK47 Barrel
SniperPartsDesc,This part is needed to craft a Sniper
jz_PartsSniperRifleBarrel,Sniper Rifle Barrel
jz_PartsSniperRifleStock,Sniper Rifle Stock
jz_PartsSniperRifleReceiver,Sniper Rifle Receiver
M60PartsDesc,This part is needed to craft a M60
jz_PartsM60Barrel,M60 Barrel
jz_PartsM60Stock,M60 Stock
jz_PartsM60Receiver,M60 Receiver
RocketLauncherPartsDesc,This part is needed to craft a Rocket Launcher
jz_PartsRocketLauncherBarrel,Rocket Launcher Barrel
jz_PartsRocketLauncherStock,Rocket Launcher Stock
jz_PartsRocketLauncherParts,Rocket Launcher Parts
BasicGunPartsDesc,Simple parts that can be used to craft basic Firearms
jz_BasicGunParts,Basic Gun Parts
MilitaryGunPartsDesc,High grade parts that can be used to craft Advanced Firearms
jz_MilitaryGunParts,Military Gun Parts
oldRevolverDesc,"A old rusty Handgun thats barely able to shoot still. Theres no way to repair it but it can be used for parts"
jz_OldRevolver,"Old Handgun"
oldRifleDesc,"A old rusty Hunting Rifle thats barely able to shoot still. Theres no way to repair it but it can be used for parts"
jz_OldRifle,Old Hunting Rifle
steakKnifeDesc,A Basic Steak Knife
jz_SteakKnife,Steak Knife
jz_OldKnifeDesc,"A old rusty Knife, there is no repairing this thing."
jz_OldKnife,Old Knife
jz_ChefKnifeDesc,"A sharp Chef's knife"
jz_ChefKnife,Chef's Knife
OldAxeDesc,"A old rusty Axe, there is no repairing this thing."
jz_OldAxe,Old Axe
fryingPanDesc,"A simple iron Frying Pan. Can be used to cook with or to bash a head or two" 
jz_FryingPan,Frying Pan
screwdriverDesc,"A well made Screwdriver for disassembling electronics and as a tool to craft items."
jz_Screwdriver,Screwdriver
jz_MasonHammerDesc,"A Mason Hammer used for disassembling Brick and Flagstone Blocks and upgrade and repair them."
jz_MasonHammer,Mason Hammer
jz_ConcreteSledgeDesc,"A Concrete Sledge Hammer used for disassembling Concrete Blocks and upgrade and repair them."
jz_ConcreteSledge,Concrete Sledge Hammer
welderToolDesc,"A Welding tool used for disassembling Steel Blocks and upgrade and repair them."
jz_WelderTool,Welder Tool
